SerCon 'Callisto CF-IRMS' system
10:07:04	08-12-2016

Data from file : C:\Sercon\Callisto v1014\SERCON_GSL\Results\160812.prn
Un-Drift Corrected
N	Name	Weight/Vol	Beam Area	N (Sam)	15N (Sam)	None (Sam)	Beam Area	C (Sam)	13C (Sam)	18O (Sam)	
 	 	 	 	 ug	DeltaAir	 	 	 ug	DeltaPDB	DeltaPDB	 
 17 	TBR239	 0.68 	 3.9199832022746E-08 	 23.5499071356434 	 0.440562796889291 	 0 	 4.36382556201487E-07 	 416.610849324119 	-22.4939119515375 	-48.686022213651 	
 18 	TM10	 0.61 	 4.3089065801527E-08 	 25.7985518835481 	 2.01736726334522 	 0 	 3.64977389977206E-07 	 347.373666159783 	-22.8590545071402 	-49.4189025802338 	
 19 	TBR247	 0.71 	 3.91330295529402E-08 	 23.3506077691463 	 5.35094151744014 	 0 	 4.53856709325962E-07 	 430.646897258024 	-23.462278972284 	-49.0782730990247 	
 20 	TBR253	 0.68 	 4.64540528058444E-08 	 27.6250291976264 	 4.9626538877784 	 0 	 4.22942619593414E-07 	 400.092169847192 	-23.3685253763611 	-49.4537898364709 	
 21 	TBR251	 0.66 	 4.09106990645336E-08 	 24.2464852000959 	 2.76565436504629 	 0 	 4.54738520283549E-07 	 428.864662859777 	-23.5421898455186 	-49.3890895953924 	
 22 	TBR241	 0.71 	 5.43572969968764E-08 	 32.1068782718449 	 2.30259579488741 	 0 	 4.37248497076048E-07 	 411.122208141221 	-23.3250718990185 	-49.577596569608 	
 23 	SALANINE	 1.15 	 3.05343804712921E-07 	 179.735039675873 	-1.59953093449815 	 0 	 4.92828952980418E-07 	 461.981968138108 	-27.1066456028254 	-48.3444790301055 	
 24 	ALANINE	 1.15 	 3.07768018986687E-07 	 180.549992364831 	-1.56001661948008 	 0 	 4.97116910080919E-07 	 464.600016127184 	-27.1102450909173 	-47.4063835793421 	
 25 	TM06	 0.63 	 3.79884287429744E-08 	 22.2819961205844 	-2.93300624923028 	 0 	 3.99066087175548E-07 	 372.766143794368 	-24.1071398564035 	-48.019896606841 	
 26 	TM01	 0.63 	 3.10906292828872E-08 	 18.2318087821706 	 0.751286343861277 	 0 	 3.98904827614288E-07 	 372.418099206876 	-23.8654073792898 	-48.7112175858527 	
 27 	USGS40	 1.05 	 1.68562667990368E-07 	 98.8149270662413 	-4.80962496799362 	 0 	 4.5496147604851E-07 	 424.526411493269 	-26.4196115801927 	-47.6851361121889 	
 28 	TM07	 0.64 	 3.28109133508614E-08 	 19.2305946994136 	 0.630547737357732 	 0 	 3.87167156223889E-07 	 361.077129229971 	-23.240711712074 	-48.0216617619532 	
 29 	TBR252	 0.68 	 4.33004728218889E-08 	 25.3721160105108 	 4.14287335514653 	 0 	 4.42444143988752E-07 	 412.410525032846 	-23.8684956536658 	-48.6868732312159 	
 30 	TM08	 0.65 	 3.316732578168E-08 	 19.4296029556841 	 0.251514825647203 	 0 	 4.0301339532256E-07 	 375.457290883046 	-24.7852595661044 	-49.151249622845 	
 31 	SALANINE	 1.12 	 2.87878206217673E-07 	 168.581856448311 	-1.6560320123009 	 0 	 4.65416545303299E-07 	 433.36319231722 	-27.2036482748079 	-47.726755950401 	
 32 	ALANINE	 1.17 	 3.1376966377894E-07 	 183.690004632808 	-1.56001661948008 	 0 	 5.0790981531712E-07 	 472.680025265344 	-27.1102450909173 	-47.4063835793421 	
